Brand,BrandPresence,CustomerCode,CustomerName,TOWN,STATE
FM,AR+US+FM+UK,FMN-000104,PEHCHAAN - AJMER,AJMER,RAJASTHAN
FM,US+FM,FMN-000107,SHYAM CREATION,JODHPUR,RAJASTHAN
FM,US+FM,FMN-000097,CHAPLOT MULTI BRAND,RAJSAMAND,RAJASTHAN
FM,US+FM,FMN-000117,UNCAGED - KUCHAMAN,KUCHAMAN,RAJASTHAN
FM,US+FM,FMN-000102,NOW & WOW FASHIONS - JAIPUR,JAIPUR,RAJASTHAN
FM,AR+US+FM,FMN-000101,KHALSA COLLECTION - AJMER,AJMER,RAJASTHAN
FM,US+FM,FMN-000123,UNCAGED-SHEOGANJ,SHEOGANJ,RAJASTHAN
FM,US+FM+UK,FMN-000112,UNCAGED - DABWALI,DABWALI,RAJASTHAN
FM,US+FM+UK,FMN-000109,UNCAGED - AGRA (MG ROAD),AGRA,UTTAR PRADESH
USPA,US,USN-000004,CELEBRATION,ALWAR,RAJASTHAN
USPA,US+FM,USN-000006,CHAPLOT MULTI BRAND,RAJSAMAND,RAJASTHAN
USPA,AR+US+FM,USN-000008,CIVIL & MILLATRY - M.I.ROAD,JAIPUR,RAJASTHAN
USPA,US,USN-000012,GOYAL COLLECTION,GANGANAGAR,RAJASTHAN
USPA,US,USN-000013,JINDAL SONS,JODHPUR,RAJASTHAN
USPA,US+FM,USN-000014,KARAN COLLECTION,KISHANGARH,RAJASTHAN
USPA,US+FM,USN-000017,NOW & WOW FASHIONS - JAIPUR,JAIPUR,RAJASTHAN
USPA,AR+US+FM,USN-000018,NUWAVE - BHILWARA,BHILWARA,RAJASTHAN
USPA,AR+US,USN-000019,PARIDHAN LIFESTYLE - KOTA,KOTA,RAJASTHAN
USPA,AR+US,USN-000023,SANJAY TEX STORE - JAIPUR,JAIPUR,RAJASTHAN
USPA,US+FM,USN-000030,SHYAM CREATION,JODHPUR,RAJASTHAN
USPA,AR+US,USN-000029,SHREE VARDHMAN WEARS - BHILWARA,BHILWARA,RAJASTHAN
USPA,US,USN-000027,SHOP IN SHOPS,BIKANER,RAJASTHAN
USPA,AR+US+FM+UK,USN-000020,PEHCHAAN - AJMER,AJMER,RAJASTHAN
USPA,AR+US+FM,USN-000021,READYSTAR GARMENTS - JHUNJHUNU,JHUNJHUNU,RAJASTHAN
USPA,AR+US,USN-000032,SUNIL GARMENT - UDAIPUR,UDAIPUR,RAJASTHAN
USPA,US,USN-000002,A BRAND MART - HANUMANGARH,HANUMANGARH,RAJASTHAN
USPA,US,USN-000049,UNCAGED - SAWAI,SAWAIMADHOPUR,RAJASTHAN
USPA,AR+US+FM,USN-000026,SHEKHAWAT DEPARTMENTAL - SHAHPURA,SHAHPURA,RAJASTHAN
USPA,AR+US+FM,USN-000009,COMFORT SQUARE - JAIPUR,JAIPUR,RAJASTHAN
USPA,AR+US+FM+UK,USN-000056,YUVRAJ - JAIPUR,JAIPUR,RAJASTHAN
USPA,AR+US+FM+UK,USN-000011,FASHION ZONE - JAIPUR,JAIPUR,RAJASTHAN
USPA,AR+US+FM,USN-000015,KHALSA COLLECTION - AJMER,AJMER,RAJASTHAN
USPA,US,USN-000028,SHREE JI COLLECTION,CHITTORGARH,RAJASTHAN
USPA,US+FM,USN-000047,UNCAGED - KUCHAMAN,KUCHAMAN,RAJASTHAN
USPA,US,USN-000039,UNCAGED - BHAVNAGAR,BHAVNAGAR,RAJASTHAN
USPA,US,USN-000038,UNCAGED - BARMER,BARMER,RAJASTHAN
USPA,US+UK,USN-000035,UNCAGED - AGRA,AGRA,UTTAR PRADESH
USPA,US+FM,USN-000055,UNCAGED-SHEOGANJ,SHEOGANJ,RAJASTHAN
USPA,AR+US+FM,USN-000010,FASHION FIXX,JAIPUR,RAJASTHAN
USPA,US+FM+UK,USN-000043,UNCAGED - DABWALI,DABWALI,RAJASTHAN
